PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
16 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
17 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
19 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
21 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
22 root      39  19       0      0      0 S   0.0  0.0   0:00.02 khugepaged
23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
30 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:1
31 root      20   0       0      0      0 R   0.0  0.0   0:00.06 kworker/1:1
32 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kworker/u4+
33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
34 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vmstat
35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_m+
36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-k+
52 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
53 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/0:2
54 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_therm+
55 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
56 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
57 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
58 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
59 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
60 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
61 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
62 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
63 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kworker/u4+
67 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrc+
68 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:2
75 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u4+
82 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
83 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_ma+
121 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/u4+
122 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 firewire
123 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/18-mmc0
124 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 firewire_o+
125 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
126 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:3
127 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:3
128 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
129 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
130 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
131 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
132 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
133 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
134 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
135 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_3
136 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
137 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_4
138 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
139 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_5
141 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u4+
142 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u4+
143 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
144 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
148 root       0 -20       0      0      0 S   0.0  0.0   0:00.02 kworker/0:+
150 root       0 -20       0      0      0 S   0.0  0.0   0:00.06 kworker/1:+
226 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
266 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
274 root      20   0   32200   4416   4036 S   0.0  0.1   0:00.24 systemd-jo+
276 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:4
279 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:5
281 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:4
282 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:6
305 root      20   0   46256   5512   3116 S   0.0  0.1   0:01.03 systemd-ud+
617 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 cfg80211
628 root      20   0       0      0      0 S   0.0  0.0   0:00.00 pccardd
831 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 iwlwifi
903 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:5
1071 root      20   0   28680   3168   2752 S   0.0  0.1   0:00.04 systemd-lo+
1078 root      20   0    7296    756    680 S   0.0  0.0   0:00.00 anacron
1090 root      20   0   29008   3032   2756 S   0.0  0.1   0:00.00 cron
1094 avahi     20   0   44920   3144   2816 S   0.0  0.1   0:00.02 avahi-daem+
1096 root      20   0   93280   7492   6320 S   0.0  0.2   0:00.01 cupsd
1098 root      20   0    4400   1268   1176 S   0.0  0.0   0:00.00 acpid
1100 syslog    20   0  256400   3540   2676 S   0.0  0.1   0:00.03 rsyslogd
1102 root      20   0  337364   8708   7140 S   0.0  0.2   0:00.02 ModemManag+
1112 root      20   0  275876   6488   5772 S   0.0  0.2   0:00.06 accounts-d+
